City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Christchurch,NZ,62.02,overcast clouds,-43.5333,172.6333,The George
509,Oudtshoorn,ZA,64.76,few clouds,-33.5907,22.2014,Earthbound Guest House
511,Ozuluama,MX,59.88,overcast clouds,21.6667,-97.85,Hotel Posada De La Roma
518,Comodoro Rivadavia,AR,67.86,few clouds,-45.8667,-67.5,Austral Hotel
525,Myrtle Beach,US,57.18,broken clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
532,Roseburg,US,68.5,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
538,Bunia,CD,72.09,broken clouds,1.5667,30.25,Gold Star International Hotel
543,Bhatkal,IN,73.54,clear sky,13.9667,74.5667,Nilawar Palace
560,Tuy Hoa,VN,73.4,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
567,Lahan,NP,57.36,clear sky,26.7296,86.4951,Bhattarai Residence
570,Mount Pleasant,US,65.17,few clouds,32.7941,-79.8626,Best Western Patriots Point
575,Meiktila,MM,60.78,few clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
577,Biltine,TD,73.99,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
580,Porto Franco,BR,74.28,moderate rain,-6.3383,-47.3992,Saint Louis Hotel
582,Hokitika,NZ,60.6,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
585,Nishihara,JP,65.48,light rain,26.1842,127.7558,Minshuku Agaihama
588,Garowe,SO,67.23,scattered clouds,8.4054,48.4845,Curubo Hotel
596,Manono,CD,69.19,light rain,-7.3,27.4167,Hotel hewa bora
599,Dalby,AU,70.99,clear sky,-27.1833,151.2667,Kobbers Motor Inn Dalby
602,Nkowakowa,ZA,71.44,scattered clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
615,Hwange,ZW,68.45,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
619,Formosa Do Rio Preto,BR,72.7,moderate rain,-11.0483,-45.1931,Porto Center Hotel
620,Goulburn,AU,66.65,overcast clouds,-34.75,149.7167,Alpine Heritage Motel
623,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
626,Talcahuano,CL,62.28,broken clouds,-36.7167,-73.1167,departamento comodo
628,Mbandaka,CD,71.82,overcast clouds,0.0487,18.2603,Guest House Epervier
632,Plettenberg Bay,ZA,68.36,light rain,-34.0527,23.3716,Thanda Vista B&B
649,Alta Floresta,BR,73.6,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
651,Alibag,IN,73.47,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
654,Amalapuram,IN,66.4,clear sky,16.5833,82.0167,swayamprabha service apartments
655,Kasempa,ZM,62.22,broken clouds,-13.4584,25.8338,Lolelunga Forest Reserve
661,Okato,NZ,63.91,scattered clouds,-39.2,173.8833,Goodin Country Garden
662,Nago,JP,66.27,light rain,26.5881,127.9761,Hotel Yugaf Inn Okinawa
664,Marsh Harbour,BS,74.35,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
666,Ngunguru,NZ,68.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
682,Tandil,AR,71.94,clear sky,-37.3217,-59.1332,Hostal de la Sierra Tandil
683,Puri,IN,59.52,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
685,Mwingi,KE,68.13,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
687,Paka,MY,74.8,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
688,Gwadar,PK,70.56,broken clouds,25.1216,62.3254,Sadaf Resort
689,Codrington,AU,64.83,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
