City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Hasaki,JP,2022-02-13 04:45:29,35.7333,140.8333,43.09,86,100,11.05
266,Yumen,CN,2022-02-13 04:46:35,40.2833,97.2,27.61,42,100,2.59
267,Arman,RU,2022-02-13 04:46:36,59.7,150.1667,10.02,79,55,3.11
268,Airai,TL,2022-02-13 04:46:36,-8.9266,125.4092,73.02,64,82,3.2
269,Geraldton,AU,2022-02-13 04:46:37,-28.7667,114.6,88.21,45,1,13.8
270,Aykhal,RU,2022-02-13 04:46:37,66.0,111.5,-3.59,77,15,2.86
271,Kapoeta,SS,2022-02-13 04:46:38,4.7717,33.5903,81.09,31,64,1.83
272,Vila,PT,2022-02-13 04:46:38,42.0304,-8.1588,38.34,94,66,5.86
273,Zuya,UA,2022-02-13 04:46:39,45.0531,34.3154,29.82,86,68,5.35
274,Jacareacanga,BR,2022-02-13 04:46:39,-6.2222,-57.7528,72.75,99,100,2.98
275,Tazovskiy,RU,2022-02-13 04:46:39,67.4667,78.7,-8.48,90,7,14.2
276,Ginir,ET,2022-02-13 04:46:40,7.1333,40.7,63.52,32,6,1.97
277,Meulaboh,ID,2022-02-13 04:46:40,4.1363,96.1285,85.15,67,94,4.76
278,Shahrud,IR,2022-02-13 04:46:41,36.4182,54.9763,39.25,49,0,1.03
279,Khatanga,RU,2022-02-13 04:46:41,71.9667,102.5,-17.19,96,44,5.23
280,Vesyegonsk,RU,2022-02-13 04:46:41,58.664,37.2604,29.19,97,100,5.53
281,Sinnamary,GF,2022-02-13 04:46:42,5.3833,-52.95,75.61,89,80,8.34
282,Bouar,CF,2022-02-13 04:46:42,5.934,15.596,67.53,19,88,6.89
283,Sola,VU,2022-02-13 04:46:43,-13.8833,167.55,80.08,78,100,16.31
284,Syracuse,IT,2022-02-13 04:43:36,37.0881,15.2792,47.89,84,10,9.24
285,Tuktoyaktuk,CA,2022-02-13 04:46:43,69.4541,-133.0374,-31.0,68,20,2.3
286,Beringovskiy,RU,2022-02-13 04:46:44,63.05,179.3167,-23.19,95,8,5.66
287,Koygorodok,RU,2022-02-13 04:46:44,60.445,50.9968,14.74,97,100,3.78
288,Aklavik,CA,2022-02-13 04:46:45,68.2191,-135.0107,-28.37,100,81,2.73
289,Azoyu,MX,2022-02-13 04:46:45,16.7167,-98.7333,72.3,63,81,3.96
290,Luganville,VU,2022-02-13 04:46:46,-15.5333,167.1667,77.83,90,100,3.24
291,Belvidere,US,2022-02-13 04:46:46,42.2639,-88.8443,15.35,75,98,9.4
292,Koumac,NC,2022-02-13 04:46:47,-20.5667,164.2833,84.13,68,100,3.29
